nome;preparo;energia;proteína;carboidrato;gordura
Arroz branco;cozido;130;2.7;28.1;0.3
Arroz integral;cozido;124;2.6;25.6;1.0
Arroz parboilizado;cozido;123;2.5;26.0;0.2
Arroz arbóreo;cozido;130;2.4;28.0;0.4
Arroz preto;cozido;123;3.4;25.0;1.0
Arroz selvagem;cozido;101;4.0;21.0;0.3
Risoto de frango;preparado;138;5.3;21.6;3.2
Risoto de camarão;preparado;145;5.8;21.0;3.8
Feijão carioca;cozido;76;4.8;13.6;0.3
Feijão preto;cozido;77;4.5;14.0;0.5
Feijão verde;cozido;72;5.0;13.5;0.3
Feijão de corda;cozido;80;5.5;14.0;0.4
Feijão fradinho;cozido;78;5.2;14.3;0.4
Feijão manteiga;cozido;82;5.0;14.5;0.5
Feijão branco;cozido;83;5.5;14.0;0.5
Feijão azuki;cozido;128;7.5;24.0;0.1
Feijão tropeiro;preparado;220;8.0;30.0;7.0
Feijoada;preparada;185;10.0;12.0;10.0
Lentilha;cozida;93;6.3;16.3;0.5
Grão-de-bico;cozido;121;7.0;21.0;2.0
Ervilha;cozida;81;5.0;14.0;0.4
Soja;cozida;141;14.0;8.0;7.0
Tofu;fresco;76;8.0;1.9;4.8
Edamame;cozido;121;12.0;9.0;5.0
Proteína texturizada de soja;hidratada;102;12.5;4.5;2.5
Milho verde;cozido;98;3.4;21.0;0.6
Milho em conserva;escorrido;87;2.7;19.5;0.6
Canjica branca;cozida;74;2.0;16.3;0.2
Canjica amarela;cozida;75;2.0;16.5;0.2
Pamonha;cozida;187;3.0;32.0;5.0
Curau;preparado;142;3.2;22.0;5.0
Creme de milho;enlatado;72;1.8;14.0;1.3
Polenta;cozida;77;1.3;17.0;0.4
Angu;cozido;69;1.2;14.5;0.3
Pipoca;estourada;387;12.9;77.9;4.5
Aveia em flocos;bruta;394;13.2;67.7;8.4
Farelo de aveia;bruto;246;17.3;50.8;7.0
Granola;bruta;471;10.0;64.0;20.0
Barra de cereal;industrializada;370;7.0;70.0;7.0
Quinoa;cozida;120;4.4;21.3;1.9
Amaranto;cozido;112;4.0;20.0;1.6
Cevadinha;cozida;103;2.5;22.5;0.4
Trigo para quibe;hidratado;76;2.7;16.0;0.3
Cuscuz marroquino;hidratado;106;3.6;22.0;0.4
Pão francês;assado;270;8.0;56.0;1.0
Pão de forma;assado;280;9.0;49.0;4.0
Pão integral;assado;253;9.0;49.0;3.0
Pão de queijo;assado;363;5.0;33.0;18.0
Pão de hambúrguer;assado;278;8.5;45.0;6.5
Pão de cachorro-quente;assado;272;8.0;46.0;6.0
Pão de leite;assado;290;8.0;52.0;5.0
Pão de batata;assado;260;7.5;47.0;4.5
Pão de centeio;assado;238;8.0;48.0;2.0
Pão de milho;assado;250;7.0;45.0;4.0
Pão sovado;assado;275;8.0;54.0;2.5
Pão de mandioca;assado;262;3.5;56.0;2.8
Bisnaguinha;assado;300;7.5;52.0;6.0
Broa de milho;assada;295;6.0;55.0;6.0
Broa de fubá;assada;290;6.0;56.0;5.5
Torrada;assada;390;12.0;72.0;5.0
Macarrão;cozido;138;4.8;28.0;0.7
Macarrão integral;cozido;124;5.0;26.0;0.8
Macarrão instantâneo;cozido;220;4.5;30.0;9.0
Nhoque;cozido;136;4.0;28.0;0.8
Lasanha massa;cozida;130;4.2;26.0;0.6
Ravióli massa;cozida;140;5.0;26.0;1.2
Canelone massa;cozida;138;4.8;27.0;0.8
Lasanha à bolonhesa;preparada;150;7.0;16.0;6.0
Mandioca;cozida;125;0.6;30.0;0.3
Mandioca;frita;240;1.0;32.0;12.0
Farinha de mandioca;bruta;360;1.2;87.0;0.3
Farinha de tapioca;bruta;345;0.3;86.0;0.1
Tapioca;preparada;240;0.5;60.0;0.1
Tapioca com queijo;preparada;280;5.0;45.0;9.0
Batata;cozida;86;1.7;19.0;0.1
Batata;frita;312;3.4;38.0;17.0
Batata-doce;cozida;86;1.6;20.0;0.1
Batata-doce roxa;cozida;88;1.8;20.5;0.1
Batata-doce frita;frita;254;2.0;35.0;12.0
Batata-baroa;cozida;80;1.5;18.0;0.1
Batata-baroa;frita;220;1.8;25.0;13.0
Inhame;cozido;101;1.5;23.0;0.2
Cará;cozido;87;1.7;19.5;0.2
Cuscuz nordestino;cozido;112;3.8;23.0;0.2
Farinha de trigo;bruta;360;10.0;76.0;1.0
Fubá de milho;bruto;361;7.5;77.0;2.5
Farinha de arroz;bruta;366;6.0;80.0;0.8
Farinha integral;bruta;340;13.0;71.0;2.5
Amido de milho;bruto;354;0.5;87.0;0.1
Flocos de milho;industrializados;369;8.0;84.0;0.5
Polvilho doce;bruto;351;0.3;87.0;0.1
Polvilho azedo;bruto;351;0.3;87.0;0.1
Cacau em pó;bruto;228;19.6;54.3;13.7
Gérmen de trigo;bruto;360;23.0;51.0;9.0
Peito de frango;grelhado;165;31.0;0;3.6
Coxa de frango;cozida;209;26.0;0;11.0
Sobrecoxa de frango;assada;238;25.0;0;15.0
Asa de frango;assada;220;24.0;0;13.0
Frango assado;assado;200;28.0;0;9.0
Frango à milanesa;frito;285;24.0;10.0;16.0
Frango xadrez;preparado;132;14.0;8.0;4.5
Estrogonofe de frango;preparado;145;15.0;9.0;5.0
Nuggets de frango;assados;250;14.0;16.0;14.0
Linguiça de frango;grelhada;220;20.0;2.0;14.0
Carne moída;refogada;219;24.0;0;13.0
Bife acebolado;grelhado;175;26.0;2.0;6.5
Bife à milanesa;frito;280;24.0;10.0;16.0
Carne de panela;cozida;195;25.0;1.5;9.0
Carne assada;assada;182;27.0;0;7.5
Estrogonofe de carne;preparado;160;16.0;8.0;6.5
Almôndega;cozida;240;18.0;6.0;16.0
Patinho;cozido;163;26.0;0;6.0
Alcatra;grelhada;163;24.0;0;6.6
Picanha;grelhada;210;23.0;0;13.0
Filé mignon;grelhado;156;26.0;0;5.0
Contrafilé;grelhado;170;25.0;0;7.0
Fraldinha;grelhada;195;24.0;0;10.0
Cupim;cozido;225;23.0;0;14.0
Lagarto;cozido;155;27.0;0;4.5
Maminha;grelhada;175;25.0;0;7.5
Músculo;cozido;150;26.0;0;4.0
Acém;cozido;215;26.0;0;12.0
Costela bovina;assada;410;22.0;0;36.0
Ossobuco;cozido;175;25.0;0;7.5
Rabada;cozida;215;22.0;0;13.0
Língua;cozida;224;20.0;0;15.0
Fígado bovino;grelhado;175;27.0;5.0;5.0
Fígado de galinha;grelhado;158;25.0;2.0;5.5
Coração de galinha;grelhado;195;24.0;1.0;10.5
Moela;cozida;156;24.0;1.0;6.0
Dobradinha;cozida;126;20.0;0;4.5
Bucho;cozido;130;22.0;0;4.0
Lombo suíno;assado;198;28.0;0;8.0
Pernil suíno;assado;220;25.0;0;12.0
Bisteca suína;grelhada;235;22.0;0;16.0
Costelinha suína;assada;320;18.0;0;27.0
Bacon;frito;540;12.0;1.0;55.0
Torresmo;frito;540;6.0;0;58.0
Lombo canadense;fatiado;105;19.0;2.5;1.8
Paio;cozido;260;15.0;2.0;21.0
Salame;fatiado;380;22.0;2.0;31.0
Copa;fatiada;370;20.0;1.5;31.0
Carne seca;cozida;220;35.0;0;8.0
Carne de sol;cozida;198;32.0;0;7.0
Charque;cozido;220;35.0;0;8.0
Peito de peru;fatiado;105;21.0;1.0;1.5
Peru assado;assado;165;28.0;0;5.0
Tilápia;grelhada;128;26.0;0;2.7
Sardinha;grelhada;208;24.0;0;11.0
Sardinha em conserva;em óleo;228;24.0;0;14.0
Atum em conserva;em água;108;24.0;0;0.8
Atum em conserva;em óleo;198;26.0;0;10.0
Atum fresco;grelhado;127;24.0;0;3.0
Bacalhau;cozido;105;23.0;0;0.9
Merluza;cozida;95;20.0;0;1.2
Pescada;cozida;100;21.0;0;1.5
Corvina;grelhada;105;22.0;0;1.8
Robalo;grelhado;97;20.0;0;1.5
Dourado;grelhado;110;21.0;0;2.5
Pirarucu;grelhado;121;24.0;0;2.5
Salmão;grelhado;208;20.0;0;13.0
Linguado;grelhado;91;19.0;0;1.3
Cavala;grelhada;180;22.0;0;9.5
Anchova;grelhada;140;22.0;0;5.0
Camarão;cozido;99;24.0;0.2;0.3
Polvo;cozido;82;17.0;2.0;1.0
Lula;cozida;92;16.0;3.0;1.5
Ostra;crua;81;7.0;5.0;2.5
Lagosta;cozida;90;19.0;0.8;1.0
Sururu;cozido;70;14.0;3.0;0.5
Caranguejo;cozido;87;18.0;0.3;1.5
Siri;cozido;80;16.0;1.0;1.0
Moqueca de peixe;preparada;132;15.0;4.0;6.0
Moqueca de camarão;preparada;148;13.0;5.0;8.0
Bobó de camarão;preparado;180;8.0;14.0;10.0
Ovo de galinha;cozido;155;13.0;1.1;11.0
Ovo frito;frito;196;14.0;0.4;15.0
Ovo mexido;preparado;185;13.0;1.0;14.0
Clara de ovo;cozida;52;11.0;0.7;0.2
Gema de ovo;cozida;322;16.0;3.6;27.0
Omelete simples;preparada;175;13.0;1.5;13.0
Leite integral;líquido;61;3.2;4.8;3.3
Leite desnatado;líquido;35;3.4;5.0;0.2
Leite semidesnatado;líquido;47;3.3;4.9;1.5
Leite em pó integral;pó;497;26.0;38.0;27.0
Leite em pó desnatado;pó;360;36.0;52.0;1.0
Leite condensado;líquido;321;7.0;55.0;8.0
Creme de leite;líquido;220;2.5;3.5;22.0
Iogurte natural;líquido;51;4.1;4.7;1.5
Iogurte grego;líquido;97;6.0;4.0;6.0
Iogurte com polpa de frutas;líquido;85;3.5;14.0;1.5
Bebida láctea;líquido;70;2.5;12.0;1.5
Leite fermentado;líquido;70;3.0;13.0;0.8
Coalhada;líquida;63;4.0;4.0;3.0
Kefir;líquido;50;3.5;4.0;2.0
Queijo minas frescal;fresco;240;17.0;3.2;17.0
Queijo mussarela;fresco;280;22.0;3.0;20.0
Queijo prato;fresco;360;23.0;3.0;28.0
Queijo parmesão;ralado;453;38.0;4.0;32.0
Queijo provolone;fatiado;351;26.0;2.0;27.0
Queijo coalho;grelhado;300;22.0;2.0;23.0
Queijo gorgonzola;fatiado;353;22.0;2.0;29.0
Queijo canastra;fatiado;340;24.0;2.0;26.0
Queijo cottage;fresco;98;11.0;3.4;4.3
Ricota;fresca;174;11.0;3.0;13.0
Requeijão;cremoso;257;9.0;3.0;23.0
Manteiga;temperatura ambiente;717;0.9;0.1;81.0
Margarina;temperatura ambiente;720;0.2;0.7;81.0
Sorvete de creme;congelado;207;3.5;24.0;11.0
Sorvete de chocolate;congelado;216;3.8;28.0;10.0
Sorvete de flocos;congelado;200;3.0;25.0;10.0
Sorvete de morango;congelado;192;2.8;25.0;9.0
Picolé de fruta;congelado;75;0.2;18.0;0.2
Picolé de leite;congelado;155;2.5;20.0;7.0
Banana nanica;in natura;89;1.1;23.0;0.3
Banana prata;in natura;92;1.3;23.5;0.3
Banana da terra;cozida;128;1.2;32.0;0.2
Maçã;in natura;52;0.3;14.0;0.2
Laranja pera;in natura;47;0.9;12.0;0.1
Tangerina;in natura;53;0.8;13.0;0.3
Mamão papaia;in natura;43;0.5;11.0;0.3
Abacaxi;in natura;50;0.5;13.0;0.1
Manga;in natura;60;0.8;15.0;0.4
Uva;in natura;69;0.7;18.0;0.2
Uva passa;desidratada;299;3.1;79.0;0.5
Morango;in natura;32;0.7;7.7;0.3
