nome;preparo;energia;proteína;carboidrato;gordura
Abacate;in natura;160;2.0;9.0;15.0
Azeite de oliva;líquido;884;0;0;100.0
Óleo de coco;líquido;862;0;0;100.0
Manteiga;temperatura ambiente;717;0.9;0.1;81.0
Banha de porco;líquida;902;0;0;100.0
Peito de frango;grelhado;165;31.0;0;3.6
Coxa de frango;assada;215;25.0;0;12.0
Patinho;cozido;163;26.0;0;6.0
Alcatra;grelhada;163;24.0;0;6.6
Picanha;grelhada;210;23.0;0;13.0
Bacon;frito;540;12.0;1.0;55.0
Linguiça toscana;grelhada;280;18.0;3.0;22.0
Lombo suíno;assado;198;28.0;0;8.0
Tilápia;grelhada;128;26.0;0;2.7
Salmão;grelhado;208;20.0;0;13.0
Sardinha;grelhada;208;24.0;0;11.0
Atum fresco;grelhado;127;24.0;0;3.0
Ovo de galinha;cozido;155;13.0;1.1;11.0
Omelete simples;preparada;175;13.0;1.5;13.0
Queijo mussarela;fresco;280;22.0;3.0;20.0
Queijo prato;fresco;360;23.0;3.0;28.0
Requeijão;cremoso;257;9.0;3.0;23.0
Queijo coalho;grelhado;300;22.0;2.0;23.0
Queijo parmesão;ralado;453;38.0;4.0;32.0
Tofu;fresco;76;8.0;1.9;4.8
Castanha do Brasil;in natura;656;14.0;12.0;66.0
Castanha de caju;in natura;553;18.0;30.0;44.0
Amêndoa;in natura;579;21.0;22.0;50.0
Noz;in natura;654;15.0;14.0;65.0
Macadâmia;in natura;718;8.0;14.0;76.0
Linhaça;em grão;534;18.0;29.0;42.0
Chia;em grão;486;17.0;42.0;31.0
Couve;cozida;27;1.7;5.0;0.5
Espinafre;cozido;23;2.9;3.6;0.3
Brócolis;cozido;35;2.4;7.0;0.4
Couve-flor;cozida;20;1.4;4.0;0.2
Abobrinha;cozida;15;1.1;3.0;0.2
Chuchu;cozido;19;0.4;4.5;0.1
Berinjela;cozida;35;0.8;8.7;0.2
Pepino;in natura;15;0.6;3.6;0.1
Rúcula;in natura;25;2.6;3.7;0.7
Acelga;cozida;20;1.8;4.0;0.1
Quiabo;cozido;33;1.9;7.0;0.2
Creme de leite;líquido;220;2.5;3.5;22.0
Leite integral;líquido;61;3.2;4.8;3.3
