nome;preparo;energia;proteína;carboidrato;gordura
Banana nanica;in natura;89;1.1;23.0;0.3
Maçã;in natura;52;0.3;14.0;0.2
Laranja pera;in natura;47;0.9;12.0;0.1
Tangerina;in natura;53;0.8;13.0;0.3
Mamão papaia;in natura;43;0.5;11.0;0.3
Abacaxi;in natura;50;0.5;13.0;0.1
Manga;in natura;60;0.8;15.0;0.4
Uva;in natura;69;0.7;18.0;0.2
Morango;in natura;32;0.7;7.7;0.3
Melancia;in natura;30;0.6;7.6;0.2
Melão;in natura;34;0.8;8.2;0.2
Arroz integral;cozido;124;2.6;25.6;1.0
Aveia em flocos;bruta;394;13.2;67.7;8.4
Quinoa;cozida;120;4.4;21.3;1.9
Pão integral;assado;253;9.0;49.0;3.0
Macarrão integral;cozido;124;5.0;26.0;0.8
Cuscuz nordestino;cozido;112;3.8;23.0;0.2
Tomate;in natura;21;1.1;4.7;0.2
Cenoura;cozida;35;0.8;8.0;0.2
Beterraba;cozida;44;1.7;10.0;0.2
Brócolis;cozido;35;2.4;7.0;0.4
Couve-flor;cozida;20;1.4;4.0;0.2
Couve;cozida;27;1.7;5.0;0.5
Espinafre;cozido;23;2.9;3.6;0.3
Alface;in natura;15;1.4;2.8;0.2
Rúcula;in natura;25;2.6;3.7;0.7
Abobrinha;cozida;15;1.1;3.0;0.2
Chuchu;cozido;19;0.4;4.5;0.1
Pimentão vermelho;in natura;26;1.0;6.0;0.3
Batata-doce;cozida;86;1.6;20.0;0.1
Leite desnatado;líquido;35;3.4;5.0;0.2
Iogurte natural;líquido;51;4.1;4.7;1.5
Iogurte grego;líquido;97;6.0;4.0;6.0
Queijo cottage;fresco;98;11.0;3.4;4.3
Queijo minas frescal;fresco;240;17.0;3.2;17.0
Peito de frango;grelhado;165;31.0;0;3.6
Tilápia;grelhada;128;26.0;0;2.7
Salmão;grelhado;208;20.0;0;13.0
Atum em conserva;em água;108;24.0;0;0.8
Patinho;cozido;163;26.0;0;6.0
Filé mignon;grelhado;156;26.0;0;5.0
Feijão carioca;cozido;76;4.8;13.6;0.3
Lentilha;cozida;93;6.3;16.3;0.5
Grão-de-bico;cozido;121;7.0;21.0;2.0
Amêndoa;in natura;579;21.0;22.0;50.0
Castanha de caju;in natura;553;18.0;30.0;44.0
Azeite de oliva;líquido;884;0;0;100.0
Óleo de canola;líquido;884;0;0;100.0
Cenoura;in natura;41;0.9;10.0;0.2
Espinafre;in natura;23;2.9;3.6;0.4
Batata;cozida;86;1.7;19.0;0.1
