nome;preparo;energia;proteína;carboidrato;gordura
Peito de frango;grelhado;165;31.0;0;3.6
Coxa de frango;cozida;209;26.0;0;11.0
Patinho;cozido;163;26.0;0;6.0
Alcatra;grelhada;163;24.0;0;6.6
Picanha;grelhada;210;23.0;0;13.0
Filé mignon;grelhado;156;26.0;0;5.0
Contrafilé;grelhado;170;25.0;0;7.0
Lombo suíno;assado;198;28.0;0;8.0
Bisteca suína;grelhada;235;22.0;0;16.0
Tilápia;grelhada;128;26.0;0;2.7
Salmão;grelhado;208;20.0;0;13.0
Sardinha;grelhada;208;24.0;0;11.0
Atum fresco;grelhado;127;24.0;0;3.0
Camarão;cozido;99;24.0;0.2;0.3
Ovo de galinha;cozido;155;13.0;1.1;11.0
Omelete simples;preparada;175;13.0;1.5;13.0
Queijo minas frescal;fresco;240;17.0;3.2;17.0
Queijo cottage;fresco;98;11.0;3.4;4.3
Tofu;fresco;76;8.0;1.9;4.8
Azeite de oliva;líquido;884;0;0;100.0
Óleo de canola;líquido;884;0;0;100.0
Abacate;in natura;160;2.0;9.0;15.0
Castanha do Brasil;in natura;656;14.0;12.0;66.0
Castanha de caju;in natura;553;18.0;30.0;44.0
Amêndoa;in natura;579;21.0;22.0;50.0
Linhaça;em grão;534;18.0;29.0;42.0
Chia;em grão;486;17.0;42.0;31.0
Couve;cozida;27;1.7;5.0;0.5
Espinafre;cozido;23;2.9;3.6;0.3
Brócolis;cozido;35;2.4;7.0;0.4
Couve-flor;cozida;20;1.4;4.0;0.2
Abobrinha;cozida;15;1.1;3.0;0.2
Chuchu;cozido;19;0.4;4.5;0.1
Berinjela;cozida;35;0.8;8.7;0.2
Pepino;in natura;15;0.6;3.6;0.1
Quiabo;cozido;33;1.9;7.0;0.2
Tomate;in natura;21;1.1;4.7;0.2
Cebola;in natura;40;1.1;9.3;0.1
Alho;in natura;149;6.4;33.0;0.5
Rúcula;in natura;25;2.6;3.7;0.7
Batata-doce;cozida;86;1.6;20.0;0.1
Mandioca;cozida;125;0.6;30.0;0.3
Feijão carioca;cozido;76;4.8;13.6;0.3
Lentilha;cozida;93;6.3;16.3;0.5
Morango;in natura;32;0.7;7.7;0.3
Melancia;in natura;30;0.6;7.6;0.2
Melão;in natura;34;0.8;8.2;0.2
Coco verde;in natura;45;0.7;8.5;1.0
Leite integral;líquido;61;3.2;4.8;3.3
Iogurte natural;líquido;51;4.1;4.7;1.5
