nome;preparo;energia;proteína;carboidrato;gordura
Azeite de oliva extravirgem;líquido;884;0;0;100.0
Salmão;grelhado;208;20.0;0;13.0
Sardinha;grelhada;208;24.0;0;11.0
Atum fresco;grelhado;127;24.0;0;3.0
Cavala;grelhada;180;22.0;0;9.5
Bacalhau;cozido;105;23.0;0;0.9
Camarão;cozido;99;24.0;0.2;0.3
Polvo;cozido;82;17.0;2.0;1.0
Lula;cozida;92;16.0;3.0;1.5
Grão-de-bico;cozido;121;7.0;21.0;2.0
Lentilha;cozida;93;6.3;16.3;0.5
Feijão branco;cozido;83;5.5;14.0;0.5
Feijão carioca;cozido;76;4.8;13.6;0.3
Ervilha;cozida;81;5.0;14.0;0.4
Soja;cozida;141;14.0;8.0;7.0
Tofu;fresco;76;8.0;1.9;4.8
Arroz integral;cozido;124;2.6;25.6;1.0
Quinoa;cozida;120;4.4;21.3;1.9
Aveia em flocos;bruta;394;13.2;67.7;8.4
Pão integral;assado;253;9.0;49.0;3.0
Macarrão integral;cozido;124;5.0;26.0;0.8
Castanha do Brasil;in natura;656;14.0;12.0;66.0
Castanha de caju;in natura;553;18.0;30.0;44.0
Amêndoa;in natura;579;21.0;22.0;50.0
Noz;in natura;654;15.0;14.0;65.0
Linhaça;em grão;534;18.0;29.0;42.0
Chia;em grão;486;17.0;42.0;31.0
Abacate;in natura;160;2.0;9.0;15.0
Azeitona preta;conserva;155;1.5;4.5;16.0
Tomate;in natura;21;1.1;4.7;0.2
Tomate cereja;in natura;22;1.0;4.5;0.2
Berinjela;cozida;35;0.8;8.7;0.2
Abobrinha;cozida;15;1.1;3.0;0.2
Brócolis;cozido;35;2.4;7.0;0.4
Couve;cozida;27;1.7;5.0;0.5
Espinafre;cozido;23;2.9;3.6;0.3
Rúcula;in natura;25;2.6;3.7;0.7
Alface;in natura;15;1.4;2.8;0.2
Cenoura;in natura;41;0.9;10.0;0.2
Pimentão vermelho;in natura;26;1.0;6.0;0.3
Cebola;in natura;40;1.1;9.3;0.1
Alho;in natura;149;6.4;33.0;0.5
Maçã;in natura;52;0.3;14.0;0.2
Laranja pera;in natura;47;0.9;12.0;0.1
Uva;in natura;69;0.7;18.0;0.2
Morango;in natura;32;0.7;7.7;0.3
Figo;in natura;74;0.8;19.0;0.3
Pera;in natura;57;0.4;15.0;0.1
Peito de frango;grelhado;165;31.0;0;3.6
Ovo de galinha;cozido;155;13.0;1.1;11.0
Queijo feta;fresco;264;14.0;4.1;21.0
Iogurte natural;líquido;51;4.1;4.7;1.5
Vinho tinto;líquido;85;0.1;2.6;0
