nome;preparo;energia;proteína;carboidrato;gordura
Couve;cozida;27;1.7;5.0;0.5
Espinafre;cozido;23;2.9;3.6;0.3
Espinafre;in natura;23;2.9;3.6;0.4
Rúcula;in natura;25;2.6;3.7;0.7
Agrião;in natura;11;1.5;1.8;0.1
Alface;in natura;15;1.4;2.8;0.2
Brócolis;cozido;35;2.4;7.0;0.4
Brócolis;in natura;34;2.8;7.0;0.4
Couve-flor;cozida;20;1.4;4.0;0.2
Couve-de-bruxelas;cozida;36;2.6;7.0;0.5
Morango;in natura;32;0.7;7.7;0.3
Amora;in natura;43;1.4;10.0;0.5
Framboesa;in natura;52;1.2;12.0;0.7
Mirtilo;in natura;57;0.7;14.0;0.3
Cereja;in natura;50;1.0;12.0;0.3
Castanha do Brasil;in natura;656;14.0;12.0;66.0
Castanha de caju;in natura;553;18.0;30.0;44.0
Amêndoa;in natura;579;21.0;22.0;50.0
Noz;in natura;654;15.0;14.0;65.0
Linhaça;em grão;534;18.0;29.0;42.0
Chia;em grão;486;17.0;42.0;31.0
Arroz integral;cozido;124;2.6;25.6;1.0
Quinoa;cozida;120;4.4;21.3;1.9
Aveia em flocos;bruta;394;13.2;67.7;8.4
Pão integral;assado;253;9.0;49.0;3.0
Macarrão integral;cozido;124;5.0;26.0;0.8
Feijão carioca;cozido;76;4.8;13.6;0.3
Lentilha;cozida;93;6.3;16.3;0.5
Grão-de-bico;cozido;121;7.0;21.0;2.0
Ervilha;cozida;81;5.0;14.0;0.4
Soja;cozida;141;14.0;8.0;7.0
Peito de frango;grelhado;165;31.0;0;3.6
Coxa de frango;cozida;209;26.0;0;11.0
Tilápia;grelhada;128;26.0;0;2.7
Salmão;grelhado;208;20.0;0;13.0
Sardinha;grelhada;208;24.0;0;11.0
Atum fresco;grelhado;127;24.0;0;3.0
Azeite de oliva extravirgem;líquido;884;0;0;100.0
Tomate;in natura;21;1.1;4.7;0.2
Cenoura;in natura;41;0.9;10.0;0.2
Cebola;in natura;40;1.1;9.3;0.1
Alho;in natura;149;6.4;33.0;0.5
Vinho tinto;líquido;85;0.1;2.6;0
