nome;preparo;energia;proteína;carboidrato;gordura
Peito de frango;grelhado;165;31.0;0;3.6
Coxa de frango;assada;215;25.0;0;12.0
Patinho;cozido;163;26.0;0;6.0
Alcatra;grelhada;163;24.0;0;6.6
Picanha;grelhada;210;23.0;0;13.0
Filé mignon;grelhado;156;26.0;0;5.0
Contrafilé;grelhado;170;25.0;0;7.0
Músculo;cozido;150;26.0;0;4.0
Acém;cozido;215;26.0;0;12.0
Lombo suíno;assado;198;28.0;0;8.0
Pernil suíno;assado;220;25.0;0;12.0
Tilápia;grelhada;128;26.0;0;2.7
Salmão;grelhado;208;20.0;0;13.0
Sardinha;grelhada;208;24.0;0;11.0
Atum fresco;grelhado;127;24.0;0;3.0
Cavala;grelhada;180;22.0;0;9.5
Camarão;cozido;99;24.0;0.2;0.3
Polvo;cozido;82;17.0;2.0;1.0
Lula;cozida;92;16.0;3.0;1.5
Ovo de galinha;cozido;155;13.0;1.1;11.0
Omelete simples;preparada;175;13.0;1.5;13.0
Abacate;in natura;160;2.0;9.0;15.0
Coco verde;in natura;45;0.7;8.5;1.0
Azeite de oliva;líquido;884;0;0;100.0
Óleo de coco;líquido;862;0;0;100.0
Castanha do Brasil;in natura;656;14.0;12.0;66.0
Castanha de caju;in natura;553;18.0;30.0;44.0
Amêndoa;in natura;579;21.0;22.0;50.0
Noz;in natura;654;15.0;14.0;65.0
Macadâmia;in natura;718;8.0;14.0;76.0
Pistache;in natura;562;20.0;28.0;45.0
Linhaça;em grão;534;18.0;29.0;42.0
Chia;em grão;486;17.0;42.0;31.0
Gergelim;em grão;573;18.0;23.0;50.0
Semente de abóbora;torrada;559;30.0;11.0;49.0
Semente de girassol;torrada;584;21.0;20.0;51.0
Tomate;in natura;21;1.1;4.7;0.2
Cenoura;in natura;41;0.9;10.0;0.2
Cenoura;cozida;35;0.8;8.0;0.2
Couve;cozida;27;1.7;5.0;0.5
Espinafre;cozido;23;2.9;3.6;0.3
Espinafre;in natura;23;2.9;3.6;0.4
Brócolis;cozido;35;2.4;7.0;0.4
Couve-flor;cozida;20;1.4;4.0;0.2
Abobrinha;cozida;15;1.1;3.0;0.2
Berinjela;cozida;35;0.8;8.7;0.2
Pepino;in natura;15;0.6;3.6;0.1
Rúcula;in natura;25;2.6;3.7;0.7
Agrião;in natura;11;1.5;1.8;0.1
Pimentão vermelho;in natura;26;1.0;6.0;0.3
Cebola;in natura;40;1.1;9.3;0.1
Alho;in natura;149;6.4;33.0;0.5
Batata-doce;cozida;86;1.6;20.0;0.1
Banana nanica;in natura;89;1.1;23.0;0.3
Maçã;in natura;52;0.3;14.0;0.2
Laranja pera;in natura;47;0.9;12.0;0.1
Mamão papaia;in natura;43;0.5;11.0;0.3
Abacaxi;in natura;50;0.5;13.0;0.1
Manga;in natura;60;0.8;15.0;0.4
Morango;in natura;32;0.7;7.7;0.3
Goiaba;in natura;68;2.6;14.0;1.0
Maracujá;in natura;97;2.2;21.0;0.7
Caju;in natura;43;1.0;10.0;0.4
