nome;preparo;energia;proteína;carboidrato;gordura
Feijão carioca;cozido;76;4.8;13.6;0.3
Feijão preto;cozido;77;4.5;14.0;0.5
Feijão branco;cozido;83;5.5;14.0;0.5
Feijão de corda;cozido;80;5.5;14.0;0.4
Lentilha;cozida;93;6.3;16.3;0.5
Grão-de-bico;cozido;121;7.0;21.0;2.0
Ervilha;cozida;81;5.0;14.0;0.4
Soja;cozida;141;14.0;8.0;7.0
Tofu;fresco;76;8.0;1.9;4.8
Edamame;cozido;121;12.0;9.0;5.0
Proteína texturizada de soja;hidratada;102;12.5;4.5;2.5
Arroz integral;cozido;124;2.6;25.6;1.0
Arroz branco;cozido;130;2.7;28.1;0.3
Quinoa;cozida;120;4.4;21.3;1.9
Aveia em flocos;bruta;394;13.2;67.7;8.4
Pão integral;assado;253;9.0;49.0;3.0
Pão de forma integral;assado;280;9.0;49.0;4.0
Macarrão integral;cozido;124;5.0;26.0;0.8
Azeite de oliva;líquido;884;0;0;100.0
Óleo de soja;líquido;884;0;0;100.0
Óleo de canola;líquido;884;0;0;100.0
Abacate;in natura;160;2.0;9.0;15.0
Coco verde;in natura;45;0.7;8.5;1.0
Coco seco polpa;ralada;354;3.3;15.0;33.0
Castanha do Brasil;in natura;656;14.0;12.0;66.0
Castanha de caju;in natura;553;18.0;30.0;44.0
Amêndoa;in natura;579;21.0;22.0;50.0
Amendoim;torrado;567;26.0;16.0;49.0
Manteiga de amendoim;cremosa;588;25.0;20.0;50.0
Linhaça;em grão;534;18.0;29.0;42.0
Chia;em grão;486;17.0;42.0;31.0
Gergelim;em grão;573;18.0;23.0;50.0
Semente de abóbora;torrada;559;30.0;11.0;49.0
Semente de girassol;torrada;584;21.0;20.0;51.0
Tomate;in natura;21;1.1;4.7;0.2
Cenoura;in natura;41;0.9;10.0;0.2
Cenoura;cozida;35;0.8;8.0;0.2
Couve;cozida;27;1.7;5.0;0.5
Espinafre;cozido;23;2.9;3.6;0.3
Brócolis;cozido;35;2.4;7.0;0.4
Couve-flor;cozida;20;1.4;4.0;0.2
Abobrinha;cozida;15;1.1;3.0;0.2
Rúcula;in natura;25;2.6;3.7;0.7
Beterraba;cozida;44;1.7;10.0;0.2
Pimentão vermelho;in natura;26;1.0;6.0;0.3
Cebola;in natura;40;1.1;9.3;0.1
Alho;in natura;149;6.4;33.0;0.5
Batata-doce;cozida;86;1.6;20.0;0.1
Mandioca;cozida;125;0.6;30.0;0.3
Banana nanica;in natura;89;1.1;23.0;0.3
Maçã;in natura;52;0.3;14.0;0.2
Laranja pera;in natura;47;0.9;12.0;0.1
Mamão papaia;in natura;43;0.5;11.0;0.3
Abacaxi;in natura;50;0.5;13.0;0.1
Manga;in natura;60;0.8;15.0;0.4
Morango;in natura;32;0.7;7.7;0.3
Goiaba;in natura;68;2.6;14.0;1.0
Maracujá;in natura;97;2.2;21.0;0.7
Leite de soja;líquido;40;3.3;2.0;1.5
Leite de amêndoas;líquido;30;1.0;1.0;2.5
Leite de aveia;líquido;48;0.7;9.0;1.0
Pasta de amendoim integral;cremosa;588;25.0;20.0;50.0
Cacau em pó;bruto;228;19.6;54.3;13.7
